Department,Department Name,Division,Gender,Base Salary,Grade
ABS,Alcohol Beverage Services,Wholesale Administration,F,78902,18
ABS,Alcohol Beverage Services,Administrative Services,F,35926,16
ABS,Alcohol Beverage Services,Administration,M,167345,M2
ABS,Alcohol Beverage Services,Wholesale Operations,F,90848,21
ABS,Alcohol Beverage Services,Administration,F,78902,18
ABS,Alcohol Beverage Services,Marketing,F,109761,25
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,50604.28,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,50865.5,10
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,49359.65,10
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90848,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,63424.48,15
ABS,Alcohol Beverage Services,Potomac,M,80050.85,21
ABS,Alcohol Beverage Services,Burtonsville,M,43827.02,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,75290,17
ABS,Alcohol Beverage Services,Wheaton,M,65464,14
ABS,Alcohol Beverage Services,Cloverly,M,90848,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54407,10
ABS,Alcohol Beverage Services,Westwood,M,77336.55,21
ABS,Alcohol Beverage Services,Cabin John,M,90848,21
ABS,Alcohol Beverage Services,Kensington,M,83028.74,21
ABS,Alcohol Beverage Services,Retail Administration,M,59660,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49596.86,10
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,51706.08,12
ABS,Alcohol Beverage Services,Walnut Hill,M,72769.06,18
ABS,Alcohol Beverage Services,Leisure World,F,61265.18,18
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,47687.17,10
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,12
ABS,Alcohol Beverage Services,Beer Loading,M,51706.08,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90848,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54407,10
